종목명,코드,상세정보,20.06.11,20.06.12,20.06.15
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"+1.55% / 47,401,713","-8.22% / 13,464,763(28%)","+30.00% / 68,923,586(145%)"
젬백스링크,064800,https://finance.naver.com/item/main.nhn?code=064800,"-1.18% / 42,881,717","-4.17% / 10,128,917(24%)","-6.83% / 31,817,820(74%)"
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"+0.99% / 32,421,901","-0.14% / 18,971,806(59%)","-6.56% / 18,915,678(58%)"
제이엔케이히터,126880,https://finance.naver.com/item/main.nhn?code=126880,"+19.17% / 28,651,225","-2.37% / 5,162,087(18%)","-9.37% / 7,455,593(26%)"
이지홀딩스,035810,https://finance.naver.com/item/main.nhn?code=035810,"-5.57% / 28,031,869","-8.85% / 8,409,656(30%)","-11.87% / 8,869,218(32%)"
이엠코리아,095190,https://finance.naver.com/item/main.nhn?code=095190,"+13.01% / 25,049,157","+2.48% / 8,150,314(33%)","-5.40% / 12,505,296(50%)"
카이노스메드,284620,https://finance.naver.com/item/main.nhn?code=284620,"-6.42% / 24,225,240","-8.06% / 7,736,610(32%)","-16.34% / 7,325,437(30%)"
시노펙스,025320,https://finance.naver.com/item/main.nhn?code=025320,"+5.37% / 23,858,866","-3.40% / 5,211,927(22%)","-8.64% / 6,353,135(27%)"
제넨바이오,072520,https://finance.naver.com/item/main.nhn?code=072520,"+1.69% / 20,638,431","-0.83% / 25,254,248(122%)","-11.53% / 9,551,289(46%)"
애니플러스,310200,https://finance.naver.com/item/main.nhn?code=310200,"+17.87% / 19,907,727","-4.58% / 1,960,074(10%)","-7.91% / 5,715,738(29%)"
CMG제약,058820,https://finance.naver.com/item/main.nhn?code=058820,"+1.36% / 19,025,558","-1.90% / 4,785,566(25%)","-8.88% / 6,023,289(32%)"
세종텔레콤,036630,https://finance.naver.com/item/main.nhn?code=036630,"-4.26% / 18,649,598","-2.22% / 5,875,658(32%)","-7.14% / 6,146,169(33%)"
대창솔루션,096350,https://finance.naver.com/item/main.nhn?code=096350,"-5.37% / 17,001,441","-2.46% / 14,255,633(84%)","-11.87% / 12,462,581(73%)"
아이엘사이언스,307180,https://finance.naver.com/item/main.nhn?code=307180,"+3.29% / 16,023,569","-3.18% / 1,459,036(9%)","-13.96% / 800,820(5%)"
W홀딩컴퍼니,052300,https://finance.naver.com/item/main.nhn?code=052300,"-4.26% / 15,240,327","-2.96% / 3,017,537(20%)","-7.25% / 2,583,289(17%)"
에이비엘바이오,298380,https://finance.naver.com/item/main.nhn?code=298380,"+1.89% / 15,064,261","-1.01% / 5,285,661(35%)","-11.54% / 9,200,786(61%)"
녹십자웰빙,234690,https://finance.naver.com/item/main.nhn?code=234690,"+26.36% / 14,355,301","-7.06% / 2,986,730(21%)","-10.00% / 2,147,985(15%)"
기가레인,049080,https://finance.naver.com/item/main.nhn?code=049080,"+8.61% / 13,153,180","-4.15% / 2,110,948(16%)","-13.39% / 2,186,939(17%)"
라이브플렉스,050120,https://finance.naver.com/item/main.nhn?code=050120,"-6.33% / 12,201,100","-3.60% / 8,329,907(68%)","-12.15% / 20,151,138(165%)"
KNN,058400,https://finance.naver.com/item/main.nhn?code=058400,"0.00% / 11,800,939","-4.44% / 6,531,118(55%)","-10.36% / 7,565,320(64%)"
한국비엔씨,256840,https://finance.naver.com/item/main.nhn?code=256840,"+6.55% / 11,129,554","+1.41% / 4,203,605(38%)","-4.51% / 7,368,569(66%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"-1.42% / 10,731,024","-1.44% / 10,487,504(98%)","-8.79% / 11,956,488(111%)"
미스터블루,207760,https://finance.naver.com/item/main.nhn?code=207760,"+8.41% / 10,534,635","+10.75% / 7,395,679(70%)","+5.91% / 17,964,119(171%)"
일신바이오,068330,https://finance.naver.com/item/main.nhn?code=068330,"+6.18% / 10,156,110","-2.06% / 4,529,677(45%)","-11.11% / 10,290,207(101%)"
셀트리온헬스케어,091990,https://finance.naver.com/item/main.nhn?code=091990,"+3.45% / 10,126,030","+2.00% / 4,879,599(48%)","-7.38% / 4,605,873(45%)"
