종목명,코드,상세정보,20.06.05,20.06.08,20.06.09
조아제약,034940,https://finance.naver.com/item/main.nhn?code=034940,"+13.16% / 48,903,081","-1.66% / 32,641,054(67%)","-0.68% / 12,545,065(26%)"
이지홀딩스,035810,https://finance.naver.com/item/main.nhn?code=035810,"+29.88% / 39,863,513","+29.89% / 35,507,393(89%)","+1.39% / 64,362,641(161%)"
코엔텍,029960,https://finance.naver.com/item/main.nhn?code=029960,"+6.26% / 23,553,534","-4.93% / 2,726,683(12%)","-1.63% / 1,719,276(7%)"
대창솔루션,096350,https://finance.naver.com/item/main.nhn?code=096350,"-4.93% / 17,919,283","-5.39% / 47,402,499(265%)","-2.63% / 20,883,377(117%)"
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"-4.76% / 17,211,750","+0.29% / 10,181,647(59%)","-1.17% / 9,653,456(56%)"
에스모,073070,https://finance.naver.com/item/main.nhn?code=073070,"+3.49% / 16,055,518","+0.84% / 4,627,743(29%)","-1.67% / 3,982,301(25%)"
티플랙스,081150,https://finance.naver.com/item/main.nhn?code=081150,"-0.38% / 15,637,693","-1.90% / 6,947,297(44%)","-6.46% / 4,589,257(29%)"
팜스토리,027710,https://finance.naver.com/item/main.nhn?code=027710,"+2.32% / 14,773,140","-2.26% / 2,795,890(19%)","-4.25% / 2,320,194(16%)"
유비케어,032620,https://finance.naver.com/item/main.nhn?code=032620,"+5.39% / 13,566,488","-3.72% / 1,593,271(12%)","-0.97% / 1,194,784(9%)"
SK바이오랜드,052260,https://finance.naver.com/item/main.nhn?code=052260,"+6.40% / 12,856,790","+0.70% / 3,282,066(26%)","+1.39% / 1,990,155(15%)"
케이알피앤이,060900,https://finance.naver.com/item/main.nhn?code=060900,"-8.87% / 12,634,710","-11.50% / 7,391,178(58%)","+0.50% / 4,960,341(39%)"
네온테크,306620,https://finance.naver.com/item/main.nhn?code=306620,"+19.76% / 12,378,283","0.00% / 3,807,262(31%)","+8.00% / 10,783,654(87%)"
W홀딩컴퍼니,052300,https://finance.naver.com/item/main.nhn?code=052300,"+1.39% / 12,121,324","-0.34% / 2,206,526(18%)","-1.38% / 3,002,069(25%)"
신화인터텍,056700,https://finance.naver.com/item/main.nhn?code=056700,"+12.45% / 11,661,243","+0.83% / 1,527,750(13%)","-3.61% / 1,043,826(9%)"
일지테크,019540,https://finance.naver.com/item/main.nhn?code=019540,"+7.81% / 11,391,403","+4.27% / 2,560,123(22%)","-4.47% / 1,086,422(10%)"
다날,064260,https://finance.naver.com/item/main.nhn?code=064260,"+2.33% / 11,369,862","+1.26% / 1,553,351(14%)","+0.37% / 3,228,667(28%)"
웹스,196700,https://finance.naver.com/item/main.nhn?code=196700,"+11.48% / 10,447,602","+4.61% / 756,472(7%)","-2.85% / 568,034(5%)"
램테크놀러지,171010,https://finance.naver.com/item/main.nhn?code=171010,"+9.53% / 10,294,804","+0.63% / 1,385,957(13%)","-2.26% / 731,034(7%)"
한국바이오젠,318000,https://finance.naver.com/item/main.nhn?code=318000,"+9.47% / 10,255,500","-1.10% / 1,000,224(10%)","+1.67% / 2,710,036(26%)"
